,70<=BG<=180,BG>180,BG<70,BG>250,BG<50,LBGI,HBGI,Risk Index
adult#001,100.0,0.0,0.0,0.0,0.0,0.0,1.5109019799034997,1.5109019799034997
adult#002,100.0,0.0,0.0,0.0,0.0,0.0,1.2960417462442198,1.2960417462442198
adult#003,100.0,0.0,0.0,0.0,0.0,0.0,2.506256352585999,2.506256352585999
adult#004,100.0,0.0,0.0,0.0,0.0,0.0,2.9785916408130024,2.9785916408130024
adult#005,100.0,0.0,0.0,0.0,0.0,0.0,1.9659402308848901,1.9659402308848901
adult#006,100.0,0.0,0.0,0.0,0.0,0.0,1.2171253297619526,1.2171253297619526
adult#007,100.0,0.0,0.0,0.0,0.0,0.0,1.1808021043356502,1.1808021043356502
adult#008,100.0,0.0,0.0,0.0,0.0,0.0,2.03148717194796,2.03148717194796
adult#009,100.0,0.0,0.0,0.0,0.0,0.0,2.253779513772673,2.253779513772673
adult#010,100.0,0.0,0.0,0.0,0.0,0.0,3.274060671611316,3.274060671611316
